Model,Exam,Query,Tool,Exit,Cardinality,Time,OK
SmallOperatingSystem-PT-MT0256DC0128,CTLstarCardinality,SmallOperatingSystem-PT-MT0256DC0128-CTLstarCardinalityX-15,STARMC,0.0,0,18.885,0
SmallOperatingSystem-PT-MT0256DC0128,CTLstarCardinality,SmallOperatingSystem-PT-MT0256DC0128-CTLstarCardinalityX-03,STARMC,85.0,DNF,DNF,1
SmallOperatingSystem-PT-MT0256DC0128,CTLstarCardinality,SmallOperatingSystem-PT-MT0256DC0128-CTLstarCardinalityX-05,STARMC,85.0,DNF,DNF,1
SmallOperatingSystem-PT-MT0256DC0128,CTLstarCardinality,SmallOperatingSystem-PT-MT0256DC0128-CTLstarCardinalityX-07,STARMC,85.0,DNF,DNF,1
SmallOperatingSystem-PT-MT0256DC0128,CTLstarCardinality,SmallOperatingSystem-PT-MT0256DC0128-CTLstarCardinalityX-10,STARMC,85.0,DNF,DNF,1
SmallOperatingSystem-PT-MT0256DC0128,CTLstarCardinality,SmallOperatingSystem-PT-MT0256DC0128-CTLstarCardinalityX-11,STARMC,85.0,DNF,DNF,1
SmallOperatingSystem-PT-MT0256DC0128,CTLstarCardinality,SmallOperatingSystem-PT-MT0256DC0128-CTLstarCardinalityX-12,STARMC,85.0,DNF,DNF,1
SmallOperatingSystem-PT-MT0512DC0128,CTLstarCardinality,SmallOperatingSystem-PT-MT0512DC0128-CTLstarCardinalityX-09,STARMC,0.0,104014166945,24.278,0
SmallOperatingSystem-PT-MT0512DC0128,CTLstarCardinality,SmallOperatingSystem-PT-MT0512DC0128-CTLstarCardinalityX-12,STARMC,0.0,104014166945,23.847,0
SmallOperatingSystem-PT-MT0512DC0128,CTLstarCardinality,SmallOperatingSystem-PT-MT0512DC0128-CTLstarCardinalityX-13,STARMC,0.0,0,25.199,0
SmallOperatingSystem-PT-MT0512DC0128,CTLstarCardinality,SmallOperatingSystem-PT-MT0512DC0128-CTLstarCardinalityX-00,STARMC,85.0,DNF,DNF,1
SmallOperatingSystem-PT-MT0512DC0128,CTLstarCardinality,SmallOperatingSystem-PT-MT0512DC0128-CTLstarCardinalityX-01,STARMC,85.0,DNF,DNF,1
SmallOperatingSystem-PT-MT0512DC0128,CTLstarCardinality,SmallOperatingSystem-PT-MT0512DC0128-CTLstarCardinalityX-02,STARMC,85.0,DNF,DNF,1
SmallOperatingSystem-PT-MT0512DC0128,CTLstarCardinality,SmallOperatingSystem-PT-MT0512DC0128-CTLstarCardinalityX-03,STARMC,85.0,DNF,DNF,1
SmallOperatingSystem-PT-MT0512DC0128,CTLstarCardinality,SmallOperatingSystem-PT-MT0512DC0128-CTLstarCardinalityX-04,STARMC,85.0,DNF,DNF,1
SmallOperatingSystem-PT-MT0512DC0128,CTLstarCardinality,SmallOperatingSystem-PT-MT0512DC0128-CTLstarCardinalityX-05,STARMC,85.0,DNF,DNF,1
SmallOperatingSystem-PT-MT0512DC0128,CTLstarCardinality,SmallOperatingSystem-PT-MT0512DC0128-CTLstarCardinalityX-06,STARMC,85.0,DNF,DNF,1
SmallOperatingSystem-PT-MT0512DC0128,CTLstarCardinality,SmallOperatingSystem-PT-MT0512DC0128-CTLstarCardinalityX-07,STARMC,85.0,DNF,DNF,1
SmallOperatingSystem-PT-MT0512DC0128,CTLstarCardinality,SmallOperatingSystem-PT-MT0512DC0128-CTLstarCardinalityX-08,STARMC,85.0,DNF,DNF,1
